Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2016-05-13,113.5600,0.0000,1.0000,13.7000,1.0000
2016-05-16,114.4400,0.0000,1.0000,13.7000,1.0000
2016-05-17,113.8300,0.0000,1.0000,13.7000,1.0000
2016-05-18,113.5900,0.0000,1.0000,13.7000,1.0000
2016-05-19,112.8500,0.0000,1.0000,13.7000,1.0000
2016-05-20,112.6400,0.8000,1.0000,14.5000,1.0000
2016-05-23,112.1600,0.0000,1.0000,14.5000,1.0000
2016-05-24,112.6900,0.0000,1.0000,14.5000,1.0000
2016-05-25,113.3500,0.0000,1.0000,14.5000,1.0000
2016-05-26,112.9000,0.0000,1.0000,14.5000,1.0000
2016-05-27,113.0600,0.0000,1.0000,14.5000,1.0000
2016-05-31,112.6900,0.0000,1.0000,14.5000,1.0000
2016-06-01,112.7800,0.0000,1.0000,14.5000,1.0000
2016-06-02,114.4900,0.0000,1.0000,14.5000,1.0000
2016-06-03,114.7600,0.0000,1.0000,14.5000,1.0000
2016-06-06,115.7700,0.0000,1.0000,14.5000,1.0000
2016-06-07,115.7300,0.0000,1.0000,14.5000,1.0000
2016-06-08,115.8000,0.0000,1.0000,14.5000,1.0000
2016-06-09,117.0000,0.0000,1.0000,14.5000,1.0000
2016-06-10,117.0100,0.0000,1.0000,14.5000,1.0000
2016-06-13,116.7900,0.0000,1.0000,14.5000,1.0000
2016-06-14,117.1200,0.0000,1.0000,14.5000,1.0000
2016-06-15,116.4100,0.0000,1.0000,14.5000,1.0000
2016-06-16,116.6400,0.0000,1.0000,14.5000,1.0000
2016-06-17,115.4800,0.0000,1.0000,14.5000,1.0000
2016-06-20,116.5400,0.0000,1.0000,14.5000,1.0000
2016-06-21,116.1800,0.0000,1.0000,14.5000,1.0000
2016-06-22,116.4600,0.0000,1.0000,14.5000,1.0000
2016-06-23,117.3800,0.0000,1.0000,14.5000,1.0000
2016-06-24,115.6300,0.0000,1.0000,14.5000,1.0000
2016-06-27,116.5500,0.0000,1.0000,14.5000,1.0000
2016-06-28,118.2300,0.0000,1.0000,14.5000,1.0000
2016-06-29,119.3300,0.0000,1.0000,14.5000,1.0000
2016-06-30,121.3000,0.0000,1.0000,14.5000,1.0000
2016-07-01,121.2900,0.0000,1.0000,14.5000,1.0000
2016-07-05,122.2700,0.0000,1.0000,14.5000,1.0000
2016-07-06,122.6400,0.0000,1.0000,14.5000,1.0000
2016-07-07,122.5100,0.0000,1.0000,14.5000,1.0000
2016-07-08,122.8500,0.0000,1.0000,14.5000,1.0000
2016-07-11,122.9300,0.0000,1.0000,14.5000,1.0000
2016-07-12,122.9200,0.0000,1.0000,14.5000,1.0000
2016-07-13,123.0000,0.0000,1.0000,14.5000,1.0000
2016-07-14,123.1800,0.0000,1.0000,14.5000,1.0000
2016-07-15,123.0000,0.0000,1.0000,14.5000,1.0000
2016-07-18,123.1400,0.0000,1.0000,14.5000,1.0000
2016-07-19,125.2500,0.0000,1.0000,14.5000,1.0000
2016-07-20,125.1400,0.0000,1.0000,14.5000,1.0000
2016-07-21,125.1500,0.0000,1.0000,14.5000,1.0000
2016-07-22,125.0300,0.0000,1.0000,14.5000,1.0000
2016-07-25,124.8900,0.0000,1.0000,14.5000,1.0000
2016-07-26,125.1500,0.0000,1.0000,14.5000,1.0000
2016-07-27,124.7700,0.0000,1.0000,14.5000,1.0000
2016-07-28,124.4600,0.0000,1.0000,14.5000,1.0000
2016-07-29,125.2300,0.0000,1.0000,14.5000,1.0000
2016-08-01,125.4000,0.0000,1.0000,14.5000,1.0000
2016-08-02,124.8500,0.0000,1.0000,14.5000,1.0000
2016-08-03,123.9000,0.0000,1.0000,14.5000,1.0000
2016-08-04,123.8600,0.0000,1.0000,14.5000,1.0000
2016-08-05,124.2400,0.0000,1.0000,14.5000,1.0000
2016-08-08,123.6500,0.0000,1.0000,14.5000,1.0000
2016-08-09,123.4300,0.0000,1.0000,14.5000,1.0000
2016-08-10,123.3600,0.0000,1.0000,14.5000,1.0000
2016-08-11,123.7700,0.0000,1.0000,14.5000,1.0000
2016-08-12,123.2200,0.0000,1.0000,14.5000,1.0000
2016-08-15,122.3100,0.0000,1.0000,14.5000,1.0000
2016-08-16,120.3300,0.0000,1.0000,14.5000,1.0000
2016-08-17,121.3100,0.0000,1.0000,14.5000,1.0000
2016-08-18,120.7200,0.0000,1.0000,14.5000,1.0000
2016-08-19,119.9200,0.8000,1.0000,15.3000,1.0000
2016-08-22,119.1300,0.0000,1.0000,15.3000,1.0000
2016-08-23,119.4400,0.0000,1.0000,15.3000,1.0000
2016-08-24,118.7100,0.0000,1.0000,15.3000,1.0000
2016-08-25,118.5700,0.0000,1.0000,15.3000,1.0000
2016-08-26,119.0400,0.0000,1.0000,15.3000,1.0000
2016-08-29,119.9200,0.0000,1.0000,15.3000,1.0000
2016-08-30,119.4700,0.0000,1.0000,15.3000,1.0000
2016-08-31,119.3400,0.0000,1.0000,15.3000,1.0000
2016-09-01,119.0800,0.0000,1.0000,15.3000,1.0000
2016-09-02,119.3200,0.0000,1.0000,15.3000,1.0000
2016-09-06,119.7500,0.0000,1.0000,15.3000,1.0000
2016-09-07,119.6100,0.0000,1.0000,15.3000,1.0000
2016-09-08,119.4700,0.0000,1.0000,15.3000,1.0000
2016-09-09,118.2300,0.0000,1.0000,15.3000,1.0000
2016-09-12,119.1600,0.0000,1.0000,15.3000,1.0000
2016-09-13,117.6100,0.0000,1.0000,15.3000,1.0000
2016-09-14,117.8600,0.0000,1.0000,15.3000,1.0000
2016-09-15,118.6300,0.0000,1.0000,15.3000,1.0000
2016-09-16,118.2500,0.0000,1.0000,15.3000,1.0000
2016-09-19,117.6600,0.0000,1.0000,15.3000,1.0000
2016-09-20,117.9500,0.0000,1.0000,15.3000,1.0000
2016-09-21,118.9100,0.0000,1.0000,15.3000,1.0000
2016-09-22,119.4600,0.0000,1.0000,15.3000,1.0000
2016-09-23,118.8100,0.0000,1.0000,15.3000,1.0000
2016-09-26,117.7800,0.0000,1.0000,15.3000,1.0000
2016-09-27,119.2200,0.0000,1.0000,15.3000,1.0000
2016-09-28,119.3900,0.0000,1.0000,15.3000,1.0000
2016-09-29,117.2700,0.0000,1.0000,15.3000,1.0000
2016-09-30,118.1300,0.0000,1.0000,15.3000,1.0000
